S1,S2,S3,D
39,39,29,7
95,103,108,4
116,152,99,5
158,138,85,1
121,120,91,8
163,150,128,2
71,73,54,8
92,154,112,0
92,154,112,0
161,158,114,3
140,114,101,2
168,150,128,2
157,138,85,1
163,150,128,2
140,114,95,2
157,137,85,1
193,201,142,3
91,94,108,4
40,39,29,7
70,67,54,8
136,167,126,0
137,175,126,0
107,162,117,0
95,102,101,4
72,71,53,7
110,149,88,5
71,74,55,8
146,131,88,1
41,39,29,7
113,146,89,5
74,137,80,5
33,32,24,7
193,202,139,3
142,128,109,2
73,71,53,7
101,162,117,0
102,162,118,0
187,202,144,3
143,128,109,2
137,169,126,0
140,114,101,2
162,150,128,2
70,73,54,8
92,101,103,4
116,159,100,5
154,130,77,1
149,127,108,2
40,39,29,7
91,146,111,0
92,154,112,0
164,164,111,3
40,39,29,7
39,38,29,7
174,134,97,6
162,161,115,3
92,148,112,0
84,93,94,4
116,159,91,5
73,72,53,7
153,129,77,1
108,162,117,0
115,159,99,5
108,162,111,0
113,152,89,5
164,164,118,3
149,128,109,2
86,88,104,4
141,107,102,2
92,153,111,0
75,137,81,5
74,136,80,5
91,153,111,0
91,148,112,0
91,100,108,4
193,201,143,3
158,138,85,1
169,134,97,6
188,202,143,3
97,99,109,4
158,138,85,1
86,154,104,0
34,32,24,7
41,39,30,7
116,159,100,5
26,32,23,7
147,96,72,6
169,150,123,2
139,132,88,1
193,201,144,3
113,152,89,5
146,131,89,1
91,153,111,0
40,39,29,7
159,126,98,6
113,152,90,5
164,164,117,3
116,159,94,5
157,137,85,1
74,136,80,5
33,32,24,7
149,127,102,2
73,65,53,7
146,103,72,6
85,93,102,4
85,93,103,4
163,157,117,3
51,95,78,0
108,153,90,5
195,202,144,3
194,202,137,3
168,133,96,6
116,159,100,5
147,129,77,1
146,104,73,6
40,39,28,7
114,153,90,5
160,159,115,3
84,87,64,8
75,137,80,5
145,125,88,1
136,175,120,0
137,175,120,0
116,159,100,5
130,175,126,0
80,94,95,4
159,126,98,6
113,146,90,5
121,126,91,8
168,150,128,2
136,175,126,0
140,132,88,1
158,125,97,6
95,103,108,4
158,132,85,1
96,104,109,4
152,128,76,1
110,149,87,5
91,94,109,4
147,96,72,6
98,105,104,4
86,86,104,4
149,128,108,2
136,175,126,0
92,154,112,0
164,158,118,3
71,74,54,8
70,73,54,8
136,174,119,0
70,72,53,8
121,126,91,8
98,105,110,4
133,114,101,2
168,150,128,2
146,103,72,6
136,175,126,0
64,73,54,8
108,161,117,0
152,128,76,1
102,162,117,0
150,122,109,2
91,100,108,4
143,128,109,2
194,196,139,3
139,114,94,2
175,135,98,6
136,175,119,0
158,129,85,1
175,135,98,6
71,73,54,8
91,153,111,0
193,201,139,3
157,137,85,1
153,130,75,1
75,137,80,5
188,202,144,3
116,159,99,5
32,31,23,7
176,128,98,6
74,137,80,5
194,202,139,3
107,162,117,0
86,94,103,4
141,115,102,2
162,162,117,3
86,94,104,4
174,127,96,6
40,39,29,7
134,115,101,2
84,85,63,8
86,154,111,0
143,128,109,2
92,154,105,0
141,104,73,6
92,100,109,4
71,73,54,8
116,153,99,5
194,202,137,3
158,138,79,1
71,74,48,8
154,129,77,1
159,132,86,1
155,160,114,3
91,153,111,0
91,101,109,4
91,148,111,0
146,102,72,6
77,86,63,8
157,138,85,1
164,164,118,3
34,32,24,7
32,32,24,7
130,175,126,0
33,32,24,7
152,126,97,6
146,131,89,1
147,98,73,6
108,162,111,0
116,159,100,5
115,126,91,8
91,147,111,0
145,131,88,1
188,202,139,3
158,126,91,6
139,104,72,6
107,152,90,5
85,88,64,8
158,138,86,1
146,97,72,6
130,175,126,0
149,127,108,2
163,162,117,3
169,135,98,6
140,114,99,2
40,39,29,7
74,130,79,5
169,150,124,2
116,153,91,5
32,31,23,7
107,162,117,0
70,73,48,8
96,105,109,4
95,103,108,4
80,94,103,4
158,126,98,6
108,162,115,0
92,154,111,0
92,101,109,4
40,39,29,7
143,128,109,2
112,144,89,5
147,104,73,6
73,71,53,7
84,87,64,8
73,71,53,7
74,137,80,5
92,147,111,0
34,33,24,7
147,97,72,6
162,160,115,3
70,73,54,8
85,82,64,8
154,129,77,1
92,100,109,4
137,175,126,0
33,32,23,7
107,162,117,0
146,131,88,1
194,196,139,3
73,71,53,7
194,195,138,3
153,129,77,1
169,144,128,2
40,39,29,7
39,38,28,7
113,152,90,5
187,202,144,3
146,129,76,1
169,150,128,2
150,123,109,2
73,71,53,7
92,101,109,4
130,175,126,0
140,114,101,2
161,159,114,8
157,119,97,6
110,143,79,5
194,202,144,3
111,144,88,5
158,138,85,1
67,72,53,7
121,126,92,8
97,105,104,4
137,175,126,0
40,39,29,7
70,73,53,8
169,142,129,2
120,125,92,8
114,153,84,5
91,153,111,0
70,73,54,8
136,174,120,0
168,150,128,2
74,136,80,5
74,136,80,5
116,159,100,5
146,104,73,6
140,104,72,6
136,175,126,0
162,150,128,2
85,92,102,4
121,120,91,8
162,160,115,3
80,94,103,4
91,101,109,4
108,162,118,0
108,162,117,0
158,125,91,6
71,74,55,8
143,128,109,2
66,71,53,7
149,128,102,2
153,123,77,1
155,160,114,3
145,130,88,1
146,104,72,6
177,136,98,6
153,129,77,1
65,74,54,8
158,138,85,1
33,39,29,7
91,100,108,4
73,136,79,5
32,31,23,7
143,128,108,2
140,104,72,6
73,72,53,7
33,32,23,7
153,129,77,1
130,174,117,0
74,136,79,5
73,72,53,7
162,160,115,3
91,153,105,0
91,93,108,4
193,202,138,3
153,115,77,1
110,160,100,5
33,24,24,7
111,150,89,5
121,126,92,8
193,202,142,3
91,147,111,0
73,65,53,7
92,154,112,0
86,87,103,4
68,136,79,5
136,168,126,0
158,137,79,1
74,137,80,5
40,31,29,7
40,39,29,7
84,87,63,8
146,98,72,6
162,160,115,3
140,114,101,2
72,71,53,7
152,125,97,6
74,136,79,5
91,100,108,4
173,133,96,6
153,129,77,1
108,153,117,0
70,73,54,8
149,128,108,2
163,163,117,3
74,137,80,5
161,154,115,3
136,175,120,0
162,150,128,2
41,40,30,7
71,74,54,8
147,104,73,6
154,124,78,1
136,168,126,0
136,174,126,0
176,136,99,6
162,150,124,2
116,159,100,5
39,38,28,7
158,138,85,1
121,126,91,8
75,137,80,5
85,100,108,4
194,202,143,3
143,128,109,2
74,137,80,5
39,32,28,7
145,131,88,1
92,101,109,4
168,150,128,2
96,104,109,4
158,138,85,1
154,129,77,1
107,155,117,0
33,31,24,7
116,159,99,5
161,159,115,3
140,104,72,6
107,162,117,0
168,150,122,2
193,201,138,3
161,159,115,3
147,104,73,6
96,103,108,4
91,100,109,4
121,126,91,8
40,38,28,7
149,122,109,2
91,105,110,4
108,162,117,0
154,129,77,1
158,119,97,6
194,202,137,3
113,145,89,5
136,174,126,0
142,128,108,2
72,71,53,7
150,128,109,2
39,37,28,7
130,175,126,0
149,127,108,2
121,125,91,8
84,87,64,8
85,153,111,0
168,135,128,2
71,73,54,8
153,129,76,1
98,106,110,4
91,100,108,4
72,72,53,7
158,125,97,6
71,73,54,8
161,160,115,3
145,104,66,6
91,153,111,0
152,125,97,6
32,31,24,7
73,71,52,7
194,202,144,3
108,162,117,0
41,40,29,7
146,99,73,6
158,138,85,1
156,160,115,3
83,80,63,8
175,134,91,6
169,150,128,2
163,162,117,3
108,163,117,0
164,157,117,3
137,175,126,0
137,175,126,0
74,130,80,5
136,174,126,0
154,130,77,1
83,87,63,8
78,87,64,8
158,137,85,1
110,149,79,5
71,74,54,8
72,71,53,7
146,104,72,6
173,134,96,6
141,115,102,2
147,104,72,6
117,159,100,5
145,132,89,1
85,88,65,8
72,70,53,7
156,163,117,3
105,149,87,5
169,141,128,2
39,38,28,7
40,38,28,7
153,129,71,1
163,163,117,3
130,175,126,0
154,130,77,1
114,146,90,5
113,152,90,5
158,138,85,1
146,131,88,1
121,125,85,8
110,148,87,5
85,93,103,4
33,32,24,7
146,125,89,1
164,157,117,3
97,105,109,4
147,104,72,6
90,152,110,0
91,100,108,4
73,72,53,7
71,73,54,8
137,175,126,0
116,159,99,5
85,154,112,0
91,105,110,4
91,147,111,0
140,114,101,2
83,86,64,8
194,193,144,3
39,39,28,7
73,72,53,7
71,74,55,8
145,125,88,1
84,88,64,8
163,163,111,3
121,126,92,8
121,126,92,8
136,168,126,0
158,138,85,1
40,39,29,7
121,126,91,8
74,136,80,5
145,131,88,1
72,71,52,7
83,86,63,8
108,162,117,0
121,117,91,8
147,104,72,6
86,93,103,4
97,105,109,4
136,174,120,0
194,202,138,3
71,73,48,8
146,104,72,6
140,106,102,2
158,138,79,1
73,72,53,7
91,100,108,4
161,154,115,3
153,123,76,1
85,84,102,4
85,88,65,8
147,104,73,6
85,94,103,4
92,101,108,4
86,94,104,4
188,202,143,3
153,129,77,1
91,100,102,4
33,32,24,7
147,104,73,6
39,38,28,7
97,105,109,4
33,31,24,7
139,130,88,1
163,163,117,3
136,175,126,0
168,150,128,2
113,152,90,5
169,135,98,6
83,86,63,8
174,134,97,6
149,128,108,2
116,160,94,5
163,163,117,3
164,164,118,3
140,115,102,2
71,73,54,8
95,103,108,4
92,100,109,4
120,126,91,8
158,125,97,6
71,67,54,8
169,150,128,2
155,160,115,3
145,131,88,1
134,114,101,2
71,74,54,8
163,163,117,3
152,125,97,6
137,169,126,0
137,175,126,0
85,88,65,8
187,202,144,3
78,92,102,4
168,150,128,2
163,163,117,3
40,39,29,7
146,104,73,6
157,163,117,3
169,150,128,2
72,70,53,7
75,137,80,5
159,126,98,6
68,136,80,5
116,159,93,5
116,153,100,5
74,136,80,5
92,101,109,4
140,114,101,2
104,149,88,5
114,126,91,8
72,71,53,7
121,126,85,8
121,126,86,8
108,162,118,0
169,150,129,2
163,163,118,3
73,71,53,7
85,154,111,0
85,93,96,4
74,136,80,5
154,126,77,1
169,144,129,2
97,105,109,4
147,104,73,6
147,98,72,6
92,101,109,4
97,106,109,4
73,72,53,7
144,130,88,1
136,175,126,0
168,150,128,2
158,138,85,1
136,175,126,0
110,149,88,5
168,150,122,2
161,159,114,3
92,153,111,0
102,162,117,0
33,32,24,7
163,163,113,3
140,114,101,2
139,113,101,2
154,129,77,1
176,127,98,6
163,163,117,3
154,130,77,1
110,149,88,5
112,151,89,5
114,153,90,5
147,96,73,6
40,39,29,7
121,125,92,8
162,161,115,3
154,130,77,1
97,105,109,4
174,134,97,6
145,125,88,1
115,159,100,5
32,31,24,7
152,125,97,6
141,114,100,2
85,92,102,4
149,128,102,2
71,73,54,8
97,105,109,4
70,73,54,8
187,202,143,3
115,126,91,8
131,175,126,0
194,201,139,3
73,71,53,7
194,201,139,3
116,159,99,5
112,151,89,5
136,168,118,0
145,131,88,1
40,32,29,7
33,32,24,7
92,94,109,4
116,159,99,5
120,111,92,8
85,93,102,4
168,134,97,6
159,126,91,6
154,129,77,1
153,126,98,6
91,100,109,4
154,129,77,1
146,97,73,6
152,138,85,1
194,202,139,3
108,162,111,0
148,129,77,1
40,39,29,7
108,162,117,0
73,71,53,7
145,131,88,1
162,150,123,2
91,153,111,0
139,131,88,1
91,100,109,4
161,145,114,3
75,137,80,5
40,39,29,7
72,71,53,7
136,174,126,0
149,128,109,2
168,150,122,2
158,138,85,1
158,125,97,6
194,196,144,3
152,126,98,6
194,202,144,3
145,131,82,1
92,100,109,4
193,202,140,3
158,137,85,1
158,138,85,1
146,128,77,1
85,80,64,8
149,128,108,2
86,93,96,4
145,128,108,2
72,71,52,7
136,175,126,0
91,153,104,0
163,163,117,3
139,114,101,2
121,126,91,8
71,73,54,8
169,144,128,2
168,144,129,2
40,39,29,7
145,132,82,1
71,74,54,8
33,28,24,7
74,130,80,5
137,169,126,0
95,103,108,4
97,105,109,4
96,104,108,4
121,126,91,8
161,159,115,3
74,136,80,5
173,134,97,6
113,152,89,5
92,154,112,0
72,71,47,7
85,153,111,0
146,104,66,6
101,162,117,0
74,136,79,5
145,131,88,1
108,162,111,0
158,125,97,6
152,125,97,6
176,136,98,6
144,130,88,1
92,153,111,0
108,156,117,0
193,195,143,3
85,88,64,8
97,105,109,4
121,126,91,8
116,158,100,5
32,31,24,7
113,146,89,5
74,136,72,5
167,133,96,6
136,174,126,0
71,74,54,8
158,138,85,1
116,159,100,5
163,163,118,3
140,106,101,2
149,122,108,2
33,32,23,7
40,39,29,7
159,126,98,6
155,160,115,3
158,131,85,1
194,202,143,3
158,126,97,6
193,201,143,3
157,137,85,1
136,175,120,0
130,175,126,0
147,104,73,6
91,153,111,0
140,114,101,2
91,153,105,0
91,153,112,0
162,150,129,2
149,123,109,2
92,100,102,4
158,124,96,6
112,151,89,5
147,129,77,1
162,160,109,3
116,159,100,5
33,32,24,7
193,201,138,3
157,131,85,1
91,100,102,4
92,154,105,0
70,73,54,8
98,106,110,4
71,74,54,8
121,126,92,8
143,128,109,2
146,131,88,1
40,39,29,7
177,137,99,6
68,136,80,5
91,100,108,4
85,93,103,4
163,163,111,3
91,100,102,4
162,154,115,3
107,162,117,0
121,126,91,8
116,159,100,5
121,126,91,8
158,131,85,1
96,104,109,4
121,126,86,8
83,80,63,8
146,97,72,6
86,93,103,4
91,100,108,4
140,115,99,2
91,153,111,0
75,137,80,5
136,174,126,0
83,87,64,8
72,71,53,7
75,136,80,5
145,131,88,1
145,130,88,1
104,149,88,5
145,131,88,1
141,104,73,6
145,131,89,1
69,73,54,8
164,164,117,3
113,146,90,5
130,175,126,0
161,159,115,3
108,162,118,0
71,73,54,8
84,88,64,8
67,71,53,7
33,32,17,7
85,92,94,4
121,125,92,8
164,163,117,3
74,137,80,5
40,39,29,7
168,150,128,2
158,137,85,1
121,126,91,8
152,128,76,1
92,153,111,0
174,133,97,6
193,194,143,3
81,95,104,4
164,158,118,3
143,128,108,2
136,174,120,0
73,71,53,7
163,158,118,3
158,138,85,1
83,86,63,8
159,126,92,6
91,100,109,4
71,73,54,8
158,138,79,1
91,153,111,0
121,126,85,8
107,155,117,0
158,126,97,6
140,115,96,2
140,108,101,2
86,94,104,4
113,152,89,5
40,39,29,7
85,88,65,8
154,130,77,1
153,121,77,1
84,87,64,8
116,159,99,5
173,133,96,6
33,32,24,7
141,115,102,2
178,137,99,6
91,100,108,4
140,114,101,2
161,159,108,3
72,71,53,7
74,136,80,5
83,86,63,8
188,201,139,3
145,131,88,1
85,88,65,8
151,138,85,1
80,94,103,4
176,136,92,6
157,138,85,1
114,153,90,5
74,130,80,5
149,127,102,2
168,144,124,2
72,70,52,7
168,150,128,2
141,104,73,6
90,103,108,4
91,148,111,0
145,131,88,2
163,163,117,3
39,38,28,7
108,162,117,0
75,137,80,5
152,138,85,1
112,151,88,5
86,93,103,4
70,73,54,8
41,40,29,7
97,105,109,4
194,202,144,3
163,163,113,3
146,104,72,6
70,73,54,8
167,133,96,6
136,175,126,0
91,100,109,4
177,136,99,6
156,160,115,3
40,37,29,7
40,38,29,7
67,72,53,7
140,114,102,2
33,32,24,7
121,126,92,8
162,164,118,3
151,137,85,1
145,131,88,1
140,114,102,2
145,132,88,1
121,126,91,8
85,93,103,4
138,131,88,1
33,31,24,7
168,134,97,6
146,99,72,6
74,137,80,5
70,73,53,8
163,150,129,2
74,137,80,5
121,125,91,8
161,149,115,3
85,93,103,4
121,126,92,8
104,148,87,5
158,126,91,6
147,104,73,6
164,163,117,3
114,126,91,8
84,86,63,8
146,104,72,6
158,138,85,1
164,164,112,3
83,86,57,8
73,71,53,7
154,129,77,1
92,147,111,0
141,115,102,2
138,131,88,1
70,73,54,8
168,149,128,2
145,131,88,1
85,85,102,4
149,128,109,2
85,87,64,8
108,162,117,0
108,154,118,0
39,29,28,7
140,104,72,6
140,114,95,2
85,92,102,4
136,175,126,0
73,72,53,7
147,129,77,1
83,87,63,8
89,103,108,4
163,163,118,3
157,124,96,6
151,138,85,1
169,150,128,2
173,133,96,6
108,156,117,0
158,126,97,6
158,138,85,1
143,128,109,2
158,125,97,6
194,202,139,3
161,159,115,3
74,136,79,5
150,128,108,2
194,187,139,3
146,131,89,1
95,103,108,4
95,103,102,4
74,136,74,5
83,86,63,8
106,152,89,5
86,94,104,4
149,128,109,2
91,153,97,0
108,162,117,0
161,154,115,3
136,175,126,0
40,39,29,7
151,138,85,1
116,159,99,5
162,154,115,3
161,153,115,3
154,130,77,1
194,202,137,3
70,73,54,8
159,126,98,6
120,126,92,8
146,131,89,1
113,152,90,5
169,150,128,2
146,104,73,6
158,119,97,6
157,163,117,3
41,39,29,7
145,125,88,1
85,88,64,8
97,106,103,4
158,125,97,6
91,100,108,4
33,32,24,7
149,128,108,2
108,162,118,0
92,154,105,0
147,129,77,1
33,32,23,7
96,104,109,4
101,153,117,0
140,115,102,2
72,71,53,7
139,123,88,1
33,31,23,7
74,136,80,5
146,131,89,1
91,153,111,0
102,162,117,0
168,150,128,2
91,153,111,0
152,138,86,1
72,67,53,7
115,126,91,8
111,160,100,5
83,86,59,8
154,130,77,1
121,126,85,8
140,115,96,2
83,80,64,8
163,163,117,3
40,36,29,7
143,128,108,2
152,129,77,1
140,114,101,2
74,137,80,5
116,159,99,5
84,81,64,8
40,39,29,7
163,142,128,2
71,73,54,8
116,152,100,5
85,85,102,4
140,114,102,2
85,93,103,4
121,125,91,8
168,150,128,2
158,138,77,1
194,202,144,3
145,131,82,1
33,32,24,7
161,160,114,3
194,195,143,3
73,71,46,7
83,87,63,8
74,137,80,5
33,32,24,7
85,93,103,4
108,162,117,0
163,163,111,3
145,132,89,1
116,159,93,5
158,132,85,1
115,125,91,8
146,125,88,1
158,119,97,6
145,131,88,1
146,132,89,1
121,126,92,8
91,100,109,4
72,71,53,7
107,162,117,0
131,175,126,0
73,65,52,7
110,159,99,5
163,163,117,3
91,153,112,0
70,74,54,8
108,162,111,0
171,131,95,6
33,31,23,7
116,153,99,5
147,104,73,6
97,105,109,4
110,149,87,5
91,153,105,0
87,94,104,4
84,88,65,8
136,174,126,0
121,126,92,8
108,162,111,0
149,122,108,2
168,144,128,2
162,160,115,3
146,131,89,1
136,174,119,0
149,128,108,2
136,175,126,0
146,97,72,6
158,138,79,1
91,153,105,0
92,147,112,0
110,159,100,5
121,126,85,8
121,125,92,8
91,100,101,4
147,104,73,6
110,159,100,5
84,86,63,8
95,104,108,4
109,152,90,5
91,100,108,4
34,32,24,7
80,94,104,4
108,162,117,1
32,32,24,7
149,128,102,2
84,86,57,8
145,131,88,1
73,71,53,7
193,196,143,3
74,136,73,5
163,163,106,3
110,159,100,5
140,115,95,2
72,71,52,7
86,94,103,4
164,164,118,3
121,125,91,8
151,138,85,1
92,101,109,4
33,32,24,7
95,103,108,4
91,153,111,0
91,100,109,4
112,150,88,5
108,162,111,0
73,72,53,7
98,105,110,4
153,126,98,6
150,128,109,2
111,150,88,5
91,99,108,4
176,135,98,6
40,39,22,7
32,31,23,7
137,175,126,0
193,196,143,3
116,159,100,5
87,95,95,4
175,135,97,6
162,160,115,3
86,88,103,4
95,97,108,4
143,128,108,5
121,125,92,8
32,31,24,7
152,125,97,6
169,135,98,6
96,104,109,4
108,153,117,0
169,150,128,2
78,92,102,4
147,101,73,6
40,38,29,7
75,137,80,5
84,92,102,4
116,159,100,5
149,128,108,2
71,74,54,8
140,114,101,2
152,119,98,6
116,152,100,5
84,87,55,8
140,114,101,2
112,151,89,5
173,133,96,6
33,31,23,7
73,71,52,7
87,94,104,4
83,86,63,8
72,70,52,7
114,126,91,8
70,72,53,8
168,150,129,2
110,142,87,5
33,31,24,7
113,151,89,5
74,136,73,5
70,73,54,8
177,137,99,6
83,87,63,8
92,94,108,4
162,160,115,3
85,93,103,4
162,160,108,3
158,126,98,6
107,162,117,0
158,125,91,6
145,131,88,1
92,100,109,4
162,160,115,3
149,128,108,2
85,93,103,4
158,138,85,1
147,130,77,1
140,114,101,2
39,38,28,7
176,136,98,6
91,100,102,4
169,150,129,2
175,128,97,6
147,105,73,6
194,202,139,3
92,100,109,4
145,103,72,6
96,104,109,4
86,94,103,4
151,137,85,1
84,87,55,8
74,131,80,5
108,162,117,0
146,132,89,1
163,163,117,3
74,136,80,5
116,160,100,4
33,33,24,7
157,131,85,1
72,71,53,7
41,39,21,7
149,128,109,2
92,101,109,4
147,104,72,6
113,152,89,5
83,86,63,8
145,131,88,1
40,31,29,7
149,128,109,2
152,126,98,6
95,105,109,4
108,156,118,0
70,73,47,8
158,125,97,6
74,137,80,5
158,138,79,1
33,32,24,7
92,148,112,0
162,150,128,2
143,128,108,2
83,86,57,8
153,126,97,6
168,150,128,2
149,121,109,2
66,72,53,7
171,137,99,6
163,163,117,3
146,103,72,6
70,73,54,8
173,131,97,6
168,144,128,2
116,160,100,5
149,122,109,2
136,174,126,0
162,160,115,3
143,128,109,2
121,125,91,8
97,105,109,4
74,136,80,5
34,32,24,7
162,160,115,3
175,135,97,6
158,164,118,3
162,160,115,3
158,125,97,6
91,99,108,4
140,114,101,2
71,74,54,8
193,201,138,3
168,150,128,2
73,136,79,5
173,133,96,6
108,162,117,0
85,88,64,8
106,152,89,5
104,149,87,5
74,129,80,5
162,161,115,3
108,162,117,0
72,71,53,7
108,153,117,0
153,129,77,1
175,135,91,6
158,138,85,1
140,114,101,2
107,152,90,5
169,135,98,6
84,87,64,8
87,94,104,4
161,153,114,3
146,104,73,6
92,94,109,4
162,160,115,3
176,135,98,6
116,159,100,5
83,86,63,8
91,100,108,4
33,32,24,7
33,23,24,7
116,125,91,8
153,129,77,1
159,118,97,6
91,154,111,0
64,73,53,8
121,117,91,8
155,160,115,3
116,153,100,5
121,120,92,8
155,127,98,6
